"Article","Summary","Stance","Error"
"Overflow pipes at the Burry Inlet near Llanelli are used to help stop flooding.
But the European Court of Justice ruled this broke clean water laws in a special conservation area.
The Welsh Government, Natural Resources Wales and Welsh Water said they were investing in improvements.
Though the UK has not been fined, it will have to pay legal costs in a case that also found a number of other breaches around the handling of waste water in England and Gibraltar.
The problems stem from the UK's ageing Victorian sewers, engineering marvels of their time, but now out of date.
The pipes were designed to mix both sewage and rainwater but over the years new housing developments and more frequent storms as a result of climate change have put pressure on the system.
Welsh Water has 3,000 special overflow pipes which act as relief valves to deal with the extra sewage and rainwater but go straight into rivers and the sea.
At the Burry Inlet there are 14 overflow pipes which discharge into an area supposed to be protected by UK and EU laws.
It includes salt marshes and is a habitat for tens of thousands of wild birds during the winter.
2,200
hectares of saltmarsh - largest continuous area in Wales
20,000 waterfowl are supported
13,590  oystercatchers
35,000  wildbirds spend winter including curlew, godwit and shelduck
The local cockling industry has also been hit but Welsh Water insisted this was not due to their discharges.
It is investing in a Â£113m project to reduce the number of spills.
RainScape involves reducing the amount of water that reaches the sewers through planting green spaces on streets and roofs to absorb rain and building channels to capture surface water.
The UK argued the improvements would mean it could comply with EU clean water laws by 2020.
However, the ECJ - which rules on disputes involving EU legislation - found the UK had acted ""too late"" and was failing in its obligations.
Judges ruled spills contributed to the deterioration of water quality in the Loughor Estuary.
A Welsh Government spokesman said: ""We will continue to work with Natural Resources Wales and Dwr Cymru on a Â£113m programme to reduce the number of spills, improve water quality and reduce the risk of local flooding by 2020.""
Welsh Water added: ""We have met the legal permits for water quality in the Loughor estuary and are aware of ever increasing environmental standards and the need to manage long-term challenges, such as climate change, in a truly sustainable away.""
The UK Government said all sites in England included in the judgement ""now comply with the directive and plans are in place elsewhere across the UK to deliver compliance by 2020 at the latest"".","The European Court of Justice ruled the UK violated clean water laws by allowing overflow pipes at Burry Inlet, Llanelli, to discharge sewage into a protected conservation area. Ageing Victorian sewers, overwhelmed by new housing and climate change-induced storms, cause these spills, impacting the Loughor Estuary's water quality and wildlife. Despite a £113m investment by Welsh authorities to reduce spills and comply by 2020, the ECJ found the UK acted ""too late"" and must pay legal costs for these breaches across the UK.","נייטרלי",""
"He also hailed improving ties between the US and Cuba as ""an example of reconciliation for the whole world"".
The Pope was greeted by President Raul Castro after landing in the capital, Havana.
The Pope is due to celebrate Mass on Sunday in Havana's iconic Revolution Square.
He will spend four days in Cuba before flying to the US.
Following his arrival on Cuba on Saturday, thousands lined the route of the Pope's motorcade to the home of the Vatican's ambassador to Cuba.
Pope Francis - the first pontiff to hail from Latin America  - is credited with helping the recent thaw in diplomatic relations between Cuba and the US.
Mr Castro has thanked the Pope for his contribution.
Speaking at the airport alongside President Castro, Pope Francis urged further support for Cuba's Catholics ""so that the Church can continue to support and encourage the Cuban people in its hopes and concerns, with the freedom, the means and the space needed to bring the proclamation of the kingdom to the existential peripheries of society"".
He also called on Cuba and the US to ""persevere on the path"" of detente.
On Thursday the Vatican said it hoped the Pope's visit would help bring an end to the 53-year-old US embargo and lead to more freedom and human rights on the island.
Pensioner Diego Carrera told AP the visit was ""like a breath of hope blowing over Cuba"" because of the role that the Pope played in the reestablishment of relations with the US.
On Friday the US announced eased restrictions on business and travel with Communist Cuba, the latest move by President Barack Obama to improve relations.
At the scene: Will Grant, BBC News, Havana
Disembarking to chants of ""Christ lives"" and other religious slogans, the Pope was welcomed off the plane by Raul Castro. He was quick to praise the pontiff for his leadership on issues of climate change and poverty and thanked him for his role in brokering talks with Washington.
The Pope said he was in Cuba to ""support and encourage the Cuban people in their hopes and concerns"". While he didn't shy away from using the word ""freedom"" in his initial address, he is still unlikely to publically berate the Cuban government over its human rights record - choosing instead a more pragmatic approach.
As the first Latin American pope, he's likely to receive a unique welcome from the Cuban people - many of whom remember when a commitment to atheism was a key part of the constitution.
Cuba all set for Pope Francis
Cristina Fernandez Kirchner, president of the Pope's native Argentina, also arrived on the island on Saturday and will attend the Mass in Revolution Square.
Workers have been building a huge altar and stands for the congregation and choir on the square.
Streets have been newly paved in Havana, and the cathedral has been renovated.
In the city of Holguin where the Pope will celebrate Mass on Monday, the cathedral has been repaired and repainted.
Nearly 1,000 Cuban and foreign journalists were expected to cover the visit.
In 1998 Pope John Paul II became the first Pope to visit the island, saying: ""May Cuba... open itself up to the world, and may the world open itself up to Cuba.""
His predecessor, Pope Benedict XVI, also visited Cuba in 2012.
Francis's trip will later take him to the US, which he will also be visiting for the first time since his election to the papacy.","Pope Francis arrived in Cuba, welcomed by President Raul Castro, and is credited with brokering the recent thaw in US-Cuba diplomatic relations. He called the improved ties ""an example of reconciliation"" and urged continued support for Cuban Catholics and perseverance on the path of detente. Thousands lined his motorcade route. He will celebrate Mass in Havana before continuing his trip to the US, his first visit there as pontiff.","נייטרלי",""
"The 31-year-old half-back joined Widnes until the end of the season after being told he did not feature in Tigers' plans for the rest of 2017.
The former England playmaker was dropped at Cas for three games in March after an ""internal investigation"".
Chase has swapped table toppers Castleford for bottom-of-the-table Widnes, who have won twice in 13 games.
""It is a great signing for us and I'm excited we've managed to pick up someone of Rangi's quality to come into the side,"" Betts told BBC Radio Merseyside.
""I know he's excited about playing as he wants to be playing regularly - he wants to start games and play 80 minutes.
""He comes here, he's got a clean slate and he wants to go again.
""He's up for the challenge as he knows we've got our backs against the wall, he knows the situation and he's been told that. He's up for the fight which was really exciting.""","Former England half-back Rangi Chase, 31, has joined bottom-of-the-table Widnes until the end of the season. He departed top-of-the-table Castleford after being dropped following an ""internal investigation"" in March and told he wasn't in their 2017 plans. Widnes's coach expressed excitement, noting Chase is eager for regular playing time, a ""clean slate,"" and ready to fight for the struggling team, despite their poor form.","נייטרלי",""
"He is approaching the end of his 10th year in charge and thinks it is the right time to seek a fresh challenge.
Cricket Scotland chairman Keith Oliver said: ""There is no doubt that the governing body of cricket in Scotland is unrecognisable from where we were in 2004.
""And the credit for this must go to Roddy and his staff.""
During Smith's time as chief executive, his management team have increased from eight to 25 and turnover has quadrupled.
I am delighted that I leave an organisation in good health with a growing game and after a year of exceptional on-field performances by national teams at all levels
Cricket Scotland reported a rise in participation figures for players, coaches and umpires during those 10 years.
And the national side have secured a place at next year's World Cup finals in Australia and New Zealand by beating Kenya in a qualifying event.
Oliver, who has worked with Smith during that whole period, said: ""Back then, we could not have imagined we would have won global qualifying events, played in world cups at youth and senior level, played One Day International games in front of thousands, run a fully professional national team as well as winning numerous development awards at a European and Global level.
""I and all at Cricket Scotland wish Roddy every success in his next role.""
Cricket Scotland will start the recruitment process to find Smith's successor with the aim of having a replacement in place early in the new year.
Smith said: ''I have thoroughly enjoyed my time with Cricket Scotland and it's hard to believe it has been nearly a decade.
""I am delighted that I leave an organisation in good health with a growing game and after a year of exceptional on-field performances by national teams at all levels.
""Ten years is a long time for a chief executive of a national governing body and now feels exactly the right time to move on to my next challenge.
""With a Cricket World Cup to look forward to early next year and a number of newly-appointed quality staff to work with, I am looking forward to handing over to my successor an organisation that is very well placed to succeed in the future.""
Cricket Scotland announced in June that it plans a new ""world class"" base in Stirling, relocating from Edinburgh, with a new pavilion at the home of Stirling County Cricket Club designed to host international matches.","Roddy Smith is stepping down as Chief Executive of Cricket Scotland after 10 years, seeking a new challenge. Under his leadership, the organization has been significantly transformed: its management team and turnover quadrupled, participation figures rose, and the national team qualified for the World Cup. Chairman Keith Oliver praised Smith for leaving Cricket Scotland in excellent health with a growing game and significant on-field success. A successor will be sought for early next year.","נייטרלי",""
"But the Premier League club say they want Allardyce to stay, insisting he is ""very much key to our plans"".
Sunderland claim speculation about Allardyce has been ""extremely damaging"" and have urged the FA to ""bring about a swift resolution to the matter"".
England are searching for a new boss after Roy Hodgson quit on 28 June.
He resigned after the national team were knocked out of Euro 2016 at the last-16 stage by Iceland.
Photographs that appeared to show Allardyce, 61, at the home of FA vice-chairman David Gill were published in the media in the past 24 hours.
Allardyce had been on tour with Sunderland in Austria until he returned home at the start of the week, reportedly on transfer business.
Sunderland said they agreed to let Allardyce speak with the FA as a ""potential candidate"" after he requested permission, but are upset discussions did not remain confidential.
""After what was an extremely challenging season, we are keen to see a period of stability, both on and off the field, and we want him to remain as manager of our football club,"" read a club statement issued on Wednesday.
Kevin Davies, who played under Allardyce at Bolton, thinks his former boss would be a good choice for England.
""Where we are now as a nation, I think he is probably the right man,"" said Davies, who earned one England cap during his career.
""Motivation-wise, he is fantastic, the best I have ever worked with. He knows how to get the best out of a player.
""He has a lot of other strengths, too. He surrounds himself with the best people in the best roles, which allows him to plan and get the best out of his squad.""
Davies also thinks Allardyce will improve morale in the dressing room.
""The atmosphere he will create will be similar to Wales or Iceland... that spirit, that togetherness, along with the ability that we have a lacked,"" said Davies.
""I think he has always thrived on being the underdog and I think England are going to go into a lot of games as underdogs in the future, so it probably will suit the way England are at the moment. ""
Allardyce is not the only Premier League manager linked with the England job.
Arsenal's Arsene Wenger, Bournemouth's Eddie Howe and Hull City's Steve Bruce have all been touted as possible candidates.
United States boss Jurgen Klinsmann and former England manager Glenn Hoddle have also been linked with the job, but Allardyce is the frontrunner.
The former West Ham, Newcastle, Bolton and Blackburn boss, who has one year left on his Sunderland contract, won a lot of plaudits for keeping the Black Cats in the Premier League last season.
England begin their 2018 World Cup qualifying campaign on 4 September, when they face Slovakia in Trnava.
The two sides met at Euro 2016, battling out a goalless draw in Group B.
Media playback is not supported on this device
The England manager will be chosen by a three-man panel - Gill, FA technical director Dan Ashworth and chief executive Martin Glenn.
They want the next boss to be a strong-minded, tactically savvy manager who will build a clear team identity and help shape the team into a cohesive unit.
Allardyce was previously interviewed for the role in 2006 after Sven-Goran Eriksson left following that year's World Cup.
Eriksson's assistant Steve McClaren got the job instead but he failed to guide England to qualification for the 2008 European Championship.
Here's what Allardyce has since said about the England job:
2009
After missing out to McClaren:
""I should have got it and I really don't know why I didn't. It had to be political for me, rather than my credentials.
""Maybe my external look isn't to everybody's liking. It was the right time and the right job for me but not from the FA's point of view.
""It seems foreign coaches are still all the craze for the top jobs and that is a great shame. I also think that Steve not being successful was a massive blow for British or English managers, because it has put us down a peg or two.""
2015
From his autobiography:
""I wanted to do a real knock-your-socks-off interview for the FA, so I put together a PowerPoint which looked at every single detail.
""Nobody but nobody was going to beat it. But then Brian Barwick, the chief executive, told me there were no PowerPoint facilities at the interview venue, so I had to print off hard copies for the panel. So much for the progressive FA.
""I should have got it and, as I'm a better manager now than I was then, I believe I should be in the running whenever it comes round again. That's not vanity or being full of my own importance. My track record entitles me to be considered.""
May 2016
Prior to Euro 2016:
""That's gone. For me to be interested in the England job, Roy would probably have to leave at the end of the Euros.
""And would England be interested in me? They say they are looking for an English manager, but will they do it? You've got this, 'what's sexier?' element now, rather than how good you are at doing the job.""","Sam Allardyce is the frontrunner for the England manager job. His club, Sunderland, wants him to stay, calling speculation ""damaging"" and urging a swift resolution, but allowed him to speak with the FA, expressing upset that discussions weren't confidential. Allardyce's former player Kevin Davies backs him, citing his motivational and tactical skills. Allardyce previously interviewed for the role in 2006 and has long expressed a strong desire for the position, which he is now expected to secure.","נייטרלי",""
"Media playback is not supported on this device
All the tries came in the second half with Liam Williams and Gareth Davies crossing as Wales twice opened an eight-point lead.
But Juan Martin Hernandez and Martin Landajo both scored as the Pumas refused to lie down.
Full-back Leigh Halfpenny's 78th-minute penalty edged Wales four points clear to settle the encounter.
The Toulon full-back scored 14 points with the boot, which ultimately proved the difference between the sides in a match which did not quite live up to expectations.
Read: Wales restored pride, says Howley
Howley praises 'world class' lock Jones
Following their 32-8 defeat by Australia the previous week, Wales were relieved to hang on against a Pumas side that refused to buckle in the face of extreme pressure.
After coach Rob Howley had asked for a response from his team, man of the match Alun Wyn Jones and wing Williams - who both missed the Wallabies defeat - made a huge impact on their returns.
Williams' determination for his try typified a full-blooded display by the Scarlets back.
Argentina failed to rediscover the exciting running which saw them beat Ireland at the same stadium in the 2015 World Cup.
And while Howley would be pleased with the improvement in Wales' performance, a lack of composure in attack, particularly when they were on top in the first half, will be a concern.
Wales controlled the opening period but, apart from two penalties by Halfpenny, had little to show for their dominance at the break as Argentina repeatedly infringed in their own 22.
When referee Angus Gardner finally lost patience and sent prop Ramiro Herrera to the sin-bin with a minute of the first half remaining, Wales were promptly penalised at the next scrum and went in with a three-point lead which barely reflected the run of play.
Media playback is not supported on this device
After the break, wing Williams produced a tenacious finish to edge Wales eight points clear before Landajo's opportunism from a quick penalty created a try for the superb Hernandez.
When Davies dummied over for his eighth international try and Halfpenny converted, it looked as though Wales would pull clear.
But the Pumas, with Sanchez a probing threat at fly-half, hit back again when Landajo was given the benefit of the doubt by television official Sean Davey.
An exchange of penalties meant Wales led by a point before Halfpenny eased the nerves with his fifth successful kick of the game.
Wales: Leigh Halfpenny, George North, Jonathan Davies, Scott Williams, Liam Williams, Dan Biggar, Gareth Davies; Gethin Jenkins (captain), Ken Owens, Tomas Francis, Luke Charteris, Alun Wyn Jones, Sam Warburton, Justin Tipuric, Ross Moriarty.
Replacements: Scott Baldwin, Nicky Smith, Samson Lee, Cory Hill, James King, Lloyd Williams, Gareth Anscombe, Jamie Roberts.
Argentina: Joaquin Tuculet Matias Moroni, Matias Orlando, Juan Martin Hernandez, Santiago Cordero, Nicolas Sanchez, Martin Landajo; Lucas Noguera, Agustin Creevy (captain), Ramiro Herrera, Guido Petti, Matias Alemanno, Pablo Matera, Javier Ortega Desio, Facundo Isa.
Replacements: Julian Montoya, Santiago Garcia Botta, Enrique Pieretto, Leonardo Senatore, Tomas Lezana, Tomas Cubelli, Santiago Gonzalez Iglesias, Jeronimo de la Fuente.
Referee: Angus Gardner (Aus)
Touch judges: Mike Fraser (NZ) & Luke Pearce (Eng)
TMO: Sean Davey (Eng)
Citing commissioner: Bruce Kuklinski (Canada)
Media playback is not supported on this device","Wales secured a narrow 24-20 victory over Argentina in a tense rugby match, sealed by Leigh Halfpenny's 78th-minute penalty. Tries from Liam Williams and Gareth Davies put Wales ahead, but Juan Martin Hernandez and Martin Landajo ensured the Pumas stayed in contention. Halfpenny's 14 points from the boot proved decisive. The win restored Welsh pride after a previous defeat, despite concerns about their attacking composure, while Argentina fought resiliently throughout.","נייטרלי",""
"The 130m-tall (420ft) Bulford Kiwi, on Bulford Hill near Stonehenge, was carved by New Zealand troops who were stationed there.
The Department for Culture, Media and Sport has made it a scheduled monument on the advice of Historic England.
Kiwi soldiers played a significant role in the Battle of Messines, fought in June 1917 in Belgium.
Another monument at Cannock Chase in Staffordshire, marking the same battle, has also been granted protection.
The Terrain Model of Messines - a scale model of the battlefield - was made by German prisoners of war using soil, concrete, bricks and pebbles.
The model was a popular tourist attraction at the end of the war, but it became neglected and was lost until it was recently excavated.
It has now been covered over again to protect it from damage and erosion.
Roger Bowdler from Historic England said: ""These two monuments pay tribute to the bravery of New Zealand's fighting forces in the First World War and we are delighted that they are now being protected for the future.
""The Bulford Kiwi was cut into the chalk at the end of the war by Kiwi soldiers themselves, to mark the presence of their forces in England, and their achievements at the front.
""The taking of the Messines ridge was one of the war's most stirring attacks, and this model lay-out remains as testimony to the planning which made possible the victory.
""Like so much of our historic environment, these lasting reminders enable us to connect with lives and events from the past that made us who we are as a nation.
""One hundred years on, it is right to remember New Zealand's valour.""
Sir Jerry Mateparae, New Zealand High Commissioner to the UK said: ""It's fantastic to see Historic England protecting two very significant sites of huge importance for New Zealand.
""The special connections that were forged 100 years ago, with communities in the UK where New Zealanders trained, are still strong today and it's moving to see these sites protected for generations to come.""","Two monuments commemorating New Zealand's WWI bravery have been granted scheduled monument status. The Bulford Kiwi, a 130m chalk carving created by New Zealand troops, and the recently re-excavated Terrain Model of Messines, a battlefield replica made by German POWs, are now protected. These sites honor New Zealand forces' significant role in the 1917 Battle of Messines, preserving crucial historical connections and ensuring their valor is remembered for future generations.","נייטרלי",""
"An internal prison report seen by the BBC says the the inmate ran down a landing with the keys at HMP Wayland.
""As he was being restrained another prisoner attempted to grab another officer's keys,"" the report adds.
A Prison Service spokesman said both men had been transferred to a higher security jail.
They also face additional time added to their sentences.
Both men were ""quickly apprehended"" during the incident on A wing at about 09:00 BST on 27 May, the report states.
Wayland, near Watton in Norfok, is a Category C men's prison with just over 1,000 inmates.","Two inmates at HMP Wayland attempted to steal keys during an incident on May 27. One prisoner ran down a landing with keys, and as he was being restrained, a second inmate tried to grab keys from another officer. Both men were quickly apprehended and have since been transferred to a higher security jail. They also face additional time added to their sentences.","נייטרלי",""
"If he does become the next Premier League manager to lose his job, it would not just be unfair, it would be absolutely ridiculous.
I cleaned Tim's boots when I was an apprentice at Norwich in the late 1980s, and he was the captain at Blackburn Rovers when we won the Premier League together in 1995.
Of course I am not just backing him to succeed at Villa because I used to play with him - the reason is that, since the earliest days of my career, I have always seen him as manager material.
When I was a teenager I looked up to him because I liked the way he went about things and how he dealt with me and other people. Even though he was a young man then too, the other players all thought the same.
Character is a bit of a buzzword these days, but as a player I looked around for team-mates who had the ability to handle pressure and Tim was always one of them.
At 46, he is a relatively young manager now, certainly in terms of experience, but you have to remember he was quite a young captain at Blackburn too - he was 26 when we were champions.
We had some pretty big-hitters in terms of personalities in that dressing room, the likes of Alan Shearer, David Batty, Tim Flowers and Colin Hendry.
They were never afraid to have their say but, if you speak to them, they will all tell you they admired Tim not just for what he brought to the team as a player but also his contribution to the club's success as captain.
For Tim to be skipper ahead of, say, Shearer shows you what the Blackburn boss Kenny Dalglish thought of him too.
He always had the leadership qualities you need as a manager and, on top of that, I always thought he was extremely knowledgeable about the game.
He comes across as confident or even cocky in some respects, but in the dressing room it doesn't matter whether you are an introvert or an extrovert as long as what you are saying makes sense. Tim always did.
So it does not surprise me that, as a manager, he has got the best out of players who had been under-performing - like Emmanuel Adebayor at Spurs or Christian Benteke and Fabian Delph at Villa last season - because he has always had the ability to get people playing for him.
At times he might say things that players don't like - because he tells the truth. That ruffles a few feathers but I don't mind it, in fact he should be commended for it.
These days I hear a lot of people in football say things with no substance behind them, but Tim certainly is not like that - he can always back his opinions up.
Tim earned his right to have a proper crack at being Villa boss with the incredible job he did to keep them up after taking charge in February, when they were in desperate trouble with a dreadful scoring record.
Villa have been fighting relegation for a few years now under several different managers so this season was never going to be any different.
But, just eight games into the new campaign and at the first sign of adversity, Sherwood already appears to be under massive pressure.
You have to take into consideration that he lost his two best players over the summer in striker Benteke and midfielder Delph, who were both inspirational for him last season, and realise he is trying to build a new team with all the signings that Villa have made.
Villa's net spend over the summer was under £10m - and a lot of that went on young players with little or no Premier League experience.
They have plenty of potential, and also plenty of sell-on value which seems to be a big part of the club's thinking, but it is a gamble whether they work out for Villa now and that is Sherwood's problem.
I don't know who had the final say on each deal but from what I understand, Villa's head of recruitment Paddy Reilly and sporting director Hendrik Almstadt play a big part in the process.
You cannot blame Tim for the squad not being strong enough if it is not just down to him, but he is the one who is being criticised because Villa have not won since the opening day.
I get why the club's owner Randy Lerner might be getting twitchy because of the amount of money at stake if they go down, but the logical thing to do is to give Sherwood more time because he is an intelligent man who has already shown he can improve players - which is exactly what Villa need now.
Sherwood has chopped and changed his team and formation a lot so far, but that is only because he is trying to find the right balance between attack and defence while he beds those new signings in and finds a system that works with the players he has got.
The choices he has to make with his current forwards is an example of how difficult that is.
Like Benteke, Rudy Gestede has tremendous physical attributes and is as good as there is in the air in the Premier League.
In an effort to make the most of that, Sherwood has tried to get his full-backs forward to get crosses into the box - Jordan Amavi and Alan Hutton or Leandro Bacuna have all done that far more than any of Villa's midfielders.
But what Gestede doesn't have is the ability to link up play, or the pace to get behind defences. In that way, Benteke was much more of an all-round striker.
Sherwood can leave out Gestede and play Gabriel Agbonlahor or Jordan Ayew if he wants pace, but then he does not have that same physical presence up front, or any aerial threat.
Whoever he picks, he is missing something that Benteke provided on his own.
Because he is trying to find that balance between attack and defence, he cannot always play two up front to solve that problem, especially because he is also trying to fit Jack Grealish into his team as an attacking midfielder.
Grealish is a young player who has a lot of talent but picking him creates a different issue because winning games is not just down to what happens when you have got the ball.
However good Grealish is going forward, he does not always put in a shift going back the other way.
When you lose possession, you need to be compact and tight defensively and Villa have lacked that in the games I have seen, notably in their defeat by Leicester when they were hit on the counter-attack time and time again.
You really need defensive responsibility when you are in Villa's position near the bottom of the table.
That might be one of the reasons why Sherwood has apparently used this international break to try to get Grealish fitter.
After trying so many formations and line-ups, maybe we will see Sherwood sticking with just one in the next five or six games.
A settled system and some continuity is what Villa need at the moment. Tim knows that and, if he is given the chance, I am confident he will get it right.
Chris Sutton was speaking to BBC Sport's Chris Bevan.","The author fiercely defends Aston Villa manager Tim Sherwood, arguing his potential sacking would be ridiculous. He praises Sherwood's lifelong leadership, character, and ability to improve players. At Villa, Sherwood inherited a struggling team, lost star players (Benteke, Delph), and is building with unproven youngsters and limited funds. The author asserts Sherwood needs more time to find balance and integrate new signings, given his intelligence and proven track record of developing talent.","נייטרלי",""
"Transport Minister Edwina Hart said she also wanted to introduce measures to streamline the system and cut fraud.
Tough new guidelines to tackle abuse, introduced in 2013, were suspended by one council in February 2015.
Neath Port Talbot council had received complaints that genuine cases were being rejected.
It was one of a number of local authorities reporting a big rise in rejections, after being told not to just rely on evidence from GPs.
A consultation on Welsh ministers' latest proposals has been launched.","Transport Minister Edwina Hart seeks to streamline a system and combat fraud, following problems with anti-abuse guidelines from 2013. These guidelines were suspended by Neath Port Talbot council in February 2015 after genuine cases were reportedly rejected. Councils had seen a rise in rejections after being told not to rely solely on GP evidence. Welsh ministers have now launched a consultation on their latest proposals.","נייטרלי",""
"Figures show that for those aged 65, men can expect to live for another 19 years and women a further 21 years.
But there is concern that too many elderly people are living in poor health.
And the figures vary across the country, with the North East and North West having lower life expectancies for 65-year-olds than other regions.
Life expectancy among older age groups in England rose to its highest level in 2014 - with male life expectancy increasing by 0.3 years at age 65 and 0.2 years at ages 75, 85 and 95 since 2013.
Female life expectancy increased by the same amounts at the same ages.
This comes after a fall in life expectancy in some older age groups between 2011 and 2012.
The only region where male and female life expectancy did not increase in 2014 was in the North East, where male life expectancy was higher in 2013.
Among local authorities in England, the majority showed an increase or no change in life expectancy at age 65 - but one quarter showed a decrease.
In the past, statistics have tended to focus on life expectancy at birth but now that most deaths in England occur in people over the age of 80, patterns of mortality in older age groups are becoming more important.
Prof John Newton, chief knowledge officer at Public Health England, said the report presented a positive national picture that made achieving ""a good quality of life in later years even more important"".
""This report is an opportunity to remind people that, even during mid-life, it is not too late to improve your health,"" he said.
""Most of us could make changes today, like stopping smoking, being more active or eating better, that would allow us to look forward to healthier later years.""
He said it was not clear what had caused the variation in trends between local areas.
Danny Dorling, professor of human geography at the University of Oxford, said there was an urgent need to find out why improvements had stalled in many parts of England in recent years.
""Beneath the headline figures of this report, there is evidence of worsening health for many older people in some parts of the country,"" he said.
In Scotland, life expectancy continued to improve, with 65-year-old men expected to live for a further 17.4 years and women a further 19.7 years, according to the latest statistics.
But there are also wide variations across the country.","Life expectancy for 65-year-olds in England is 19 years for men and 21 for women, rising in 2014 after a previous dip. However, concerns exist about elderly people's poor health and significant regional variations, with lower expectancies in the North East and North West. While a positive national picture is reported, experts highlight stalled improvements and worsening health for many older people in some areas. They stress the importance of improving mid-life health and investigating these disparities. Scotland also shows improving but varied life expectancy.","נייטרלי",""
"Operation Equinox is investigating claims of sexual, physical and emotional abuse between the 1940s and 1990s.
In a letter to victims Nottinghamshire Police confirmed 530 of 636 reported crimes were on council property.
Officers also said 485 alleged offences were committed by council staff and of 432 suspects, 283 had been identified.
More on this story and other news in Nottinghamshire
So far, police have had 290 people report crimes.
Operation Equinox combined two police inquiries.
Operation Daybreak, sent up in 2011, was focussed on the Beechwood children's home in Nottingham, while Operation Xeres has been looking at residential homes in the county.
The letter emphasises the progress already made, with former social worker Andris Logins jailed for 20 years.
Two other men have been jailed for historical attacks not connected to children's homes and three more trials are due to begin in early 2017.
Nottinghamshire Police has not commented directly as the information is part of an ongoing enquiry.","Operation Equinox is investigating 636 reported crimes of sexual, physical, and emotional abuse from the 1940s to 1990s, with 530 occurring on council property and 485 committed by council staff. Combining two previous inquiries (Beechwood children's home and other residential homes), 290 people have reported crimes. Progress includes former social worker Andris Logins jailed for 20 years, two other men jailed for unrelated historical attacks, and three more trials due in early 2017.","נייטרלי",""
"In an all-top-flight last-eight draw, 2015 winners Chelsea were handed a home tie against Sunderland, while league champions Manchester City face a trip to newly-promoted Bristol City.
Meanwhile, Liverpool will host 2015 finalists Notts County.
The ties will be played on Sunday, one week on from the fifth round, in which Arsenal beat Tottenham 10-0.
All of the last-16 ties resulted in home wins, with World Player of the Year Carli Lloyd making her Man City debut in their 1-0 victory over fellow-Women's Super League One club Reading on Saturday.
Arsenal's convincing win over third-tier Tottenham on Sunday was one of three local derbies, with Birmingham overcoming West Brom 2-0 and Liverpool seeing off Everton 2-1.
Notts County beat Yeovil Town 3-2 to reach the last eight, while Sunderland beat second-tier Aston Villa.
Chelsea knocked out six-time winners Doncaster Rovers Belles 7-0 and Bristol City eliminated Millwall Lionesses 5-0.
Winning clubs will receive £4,000 each in prize money for a victory in the quarter-finals, have earned £3,000 for progressing from the last 16.
This year's final will be held at Wembley on Saturday, 13 May.
Birmingham City Ladies v Arsenal Ladies
Chelsea Ladies v Sunderland AFC Women
Bristol City Women v Manchester City Women
Liverpool Ladies v Notts County Ladies","The Women's FA Cup quarter-final draw features Chelsea hosting Sunderland, Manchester City visiting Bristol City, and Liverpool playing Notts County. These ties will be played on Sunday, following the last-16 round where Arsenal thrashed Tottenham 10-0 and World Player of the Year Carli Lloyd debuted for Man City in their 1-0 victory. All previous ties resulted in home wins. Quarter-final winners receive £4,000, with the final at Wembley on May 13.","נייטרלי",""
